"","x_vals","mean.h"
"h289",2019-02-27,-10.0754217486375
"h290",2019-02-28,-10.067347238446
"h291",2019-03-01,-10.0488842273816
"h292",2019-03-04,-10.0410637280643
"h293",2019-03-05,-10.0258523174071
"h294",2019-03-06,-9.99998869851281
"h295",2019-03-07,-9.97784202387797
"h296",2019-03-08,-9.95921663669422
"h297",2019-03-11,-9.92923755676134
"h298",2019-03-12,-9.94058752245956
"h299",2019-03-13,-9.94055700611692
"h300",2019-03-14,-9.94911578871915
"h301",2019-03-15,-9.94494658573075
"h302",2019-03-18,-9.93907545107807
"h303",2019-03-19,-9.92762284740812
"h304",2019-03-20,-9.90435137624148
"h305",2019-03-21,-9.87143767486341
"h306",2019-03-22,-9.85609230658321
"h307",2019-03-25,-9.90885945767639
"h308",2019-03-26,-9.94214786407415
"h309",2019-03-27,-9.97902562784636
"h310",2019-03-28,-10.0165463173816
"h311",2019-03-29,-10.0476669453431
"h312",2019-04-01,-10.084845907161
"h313",2019-04-02,-10.1474065365448
"h314",2019-04-03,-10.2001667251301
"h315",2019-04-04,-10.2430139029881
"h316",2019-04-05,-10.2730909726067
"h317",2019-04-08,-10.3002551457316
"h318",2019-04-09,-10.31966386133
"h319",2019-04-10,-10.3400547468063
"h320",2019-04-11,-10.3584817134979
"h321",2019-04-12,-10.3616626382103
"h322",2019-04-15,-10.3710641185558
"h323",2019-04-16,-10.3640614874673
"h324",2019-04-17,-10.3464427336838
"h325",2019-04-18,-10.3242024885991
"h326",2019-04-22,-10.2900684533768
"h327",2019-04-23,-10.2476614158147
"h328",2019-04-24,-10.2196993208466
"h329",2019-04-25,-10.1858943926435
"h330",2019-04-26,-10.1356993360841
"h331",2019-04-29,-10.0801537533291
"h332",2019-04-30,-10.0118321359839
"h333",2019-05-01,-9.93218472580699
"h334",2019-05-02,-9.85607932339105
"h335",2019-05-03,-9.77188210242633
"h336",2019-05-06,-9.69601577989257
"h337",2019-05-07,-9.61850863423438
"h338",2019-05-08,-9.57796790076558
"h339",2019-05-09,-9.53276525750316
"h340",2019-05-10,-9.48032351879978
"h341",2019-05-13,-9.41415849495035
"h342",2019-05-14,-9.41952289283904
"h343",2019-05-15,-9.4289035480352
"h344",2019-05-16,-9.43407707355685
"h345",2019-05-17,-9.4467946492728
"h346",2019-05-20,-9.45515453885989
"h347",2019-05-21,-9.46394748106204
"h348",2019-05-22,-9.47633025474906
"h349",2019-05-23,-9.48127898090986
"h350",2019-05-24,-9.50229515806963
"h351",2019-05-28,-9.50179890176052
"h352",2019-05-29,-9.50258840844786
"h353",2019-05-30,-9.50337367309307
"h354",2019-05-31,-9.4945356742741
"h355",2019-06-03,-9.50407690294704
"h356",2019-06-04,-9.50459255050952
"h357",2019-06-05,-9.56049567563777
"h358",2019-06-06,-9.61333744312497
"h359",2019-06-07,-9.66562506047291
"h360",2019-06-10,-9.73147612258856
"h361",2019-06-11,-9.79287594040291
"h362",2019-06-12,-9.84064487001148
"h363",2019-06-13,-9.87382753947371
"h364",2019-06-14,-9.90303069677875
"h365",2019-06-17,-9.91626122304284
"h366",2019-06-18,-9.91805713245394
"h367",2019-06-19,-9.93707866473851
"h368",2019-06-20,-9.94455618666371
"h369",2019-06-21,-9.95929047395992
"h370",2019-06-24,-9.9590609695914
"h371",2019-06-25,-9.95628680028032
"h372",2019-06-26,-9.97187002443924
"h373",2019-06-27,-9.97297160895393
"h374",2019-06-28,-9.97050418998352
"h375",2019-07-01,-9.9760726693443
"h376",2019-07-02,-9.99139377636947
"h377",2019-07-03,-10.0006563831106
"h378",2019-07-05,-10.0164991934733
"h379",2019-07-08,-10.0207360403393
"h380",2019-07-09,-10.0222406259539
"h381",2019-07-10,-10.0151194093532
"h382",2019-07-11,-10.0077969309356
"h383",2019-07-12,-9.98978367020134
"h384",2019-07-15,-9.97078822262247
"h385",2019-07-16,-9.94357312101931
"h386",2019-07-17,-9.90451426941127
"h387",2019-07-18,-9.86691112301243
"h388",2019-07-19,-9.81538010593444
"h389",2019-07-22,-9.75662706137696
"h390",2019-07-23,-9.6884940154825
